
What should I eat 3 to 4 days before the capsule colonoscopy?,"You can continue to eat and drink as normal 4 to 3 days before your colonoscopy. However, avoid high-fiber foods such as wholemeal bread, cereals, fruits, vegetables, pulses, and grains starting 2 days before the procedure."
What foods should I avoid 2 days before the procedure?,"2 days before your procedure, avoid high-fiber foods like wholemeal bread, cereals, fruits, vegetables, pulses, and grains. Stick to smaller meals and drink plenty of fluids to help the bowel preparation solution work effectively."
Can I eat meat or fish before the colonoscopy?,"Yes, you can eat well-cooked lean meat such as beef, lamb, ham, veal, pork, fish, shellfish, or poultry. Avoid fatty cuts of meat and ensure it is well-cooked."
What can I have for breakfast the day before my colonoscopy?,"You can have a light breakfast, such as a boiled egg on white toast (no later than 9 am). After breakfast, do not eat any solid food until after your test."
Can I drink coffee or tea during bowel preparation?,"Yes, you can drink coffee or tea, but it should be without milk or creamer. You can use sugar or sugar substitutes if you wish. Avoid any red or purple-colored liquids."
What are clear liquids that I can drink during preparation?,"Clear liquids include water, apple or white grape juice, clear broth, clear soda, Gatorade (not red), Kool-Aid (not red), plain Jell-O (not red), popsicles (not red), and clear strained soup. Avoid anything red or purple."
Can I drink alcohol during the bowel preparation?,"No, alcohol should be avoided during the bowel preparation period, as it can interfere with the preparation process."
Can I eat vegetables or fruits before the colonoscopy?,"No, you should avoid vegetables, fruits, and anything containing seeds or skins starting 2 days before your colonoscopy, as they are high in fiber and can interfere with bowel cleansing."
What should I do if I feel hungry during the preparation?,"You can drink clear fluids like water, broth, or tea to help with hunger. Avoid any solid foods or cloudy liquids."
Can I drink sports drinks like Gatorade during preparation?,"Yes, you can drink sports drinks like Gatorade, but avoid red or purple-colored drinks. Stick to light-colored flavors like lemon or lime."
How much fluid should I drink during bowel preparation?,Try to drink at least 2 liters (8-10 glasses) of clear fluids throughout the day to stay hydrated and help with the bowel preparation.
What if I accidentally eat something I shouldn't before the procedure?,"If you accidentally eat something that is not allowed, contact your healthcare provider for further instructions. It may affect the success of the bowel preparation."
Can I add sugar to my tea or coffee?,"Yes, you can add sugar or sugar substitutes to your tea or coffee, but avoid milk, cream, or non-dairy creamer."
Can I eat dairy products like cheese or yogurt?,"You can have cheese, butter, or margarine, but avoid yogurt and any dairy products with added fruits or fibers. Stick to plain dairy products."
Can I have boiled potatoes the day before the colonoscopy?,"Yes, you can have potatoes without the skin, such as boiled, creamed, mashed, or baked potatoes. Avoid roasted or deep-fried potatoes."
Is it okay to drink juice like orange juice during the preparation?,"No, you should avoid orange juice and any other juices that are not clear. Stick to apple or white grape juice, which are allowed."
Can I drink milk during the bowel preparation?,"No, milk and other dairy products that are not clear should be avoided. You can drink clear liquids like water, broth, or tea without milk."
What should I do if I feel dehydrated during the preparation?,"If you feel dehydrated, drink more clear fluids like water or electrolyte drinks. Signs of dehydration include dizziness, headache, and dark urine. Contact your doctor if symptoms persist."
Can I use butter or margarine on my toast?,"Yes, you can use butter or margarine on white toast, but avoid wholemeal or seeded bread."
Is it okay to have sweets or candy during the preparation?,You should avoid any sweets or candy that are not clear. Plain gelatin (not red) or popsicles (not red) are acceptable options.
When should I start changing my diet for the capsule colonoscopy?,You need to change your diet 2 days before your colonoscopy. Avoid foods that contain fiber and start eating smaller meals while drinking more fluids.
What foods should I avoid 2 days before my capsule colonoscopy?,"Avoid high-fiber foods such as fruits, vegetables, pulses, grains, wholemeal bread, and cereals. Also, avoid seeds and skins of fruits and vegetables."
Can I eat wholemeal bread 2 days before the procedure?,"No, you should avoid wholemeal bread, high-fiber bread, and anything with whole grains."
Can I have cereal before my procedure?,"You can have cereals like cornflakes or crisped rice, but avoid high-fiber cereals such as bran or porridge oats."
What type of bread is allowed before the colonoscopy?,"You can have white bread or toast, but avoid wholemeal, high-fiber, and multi-seeded bread."
Can I eat potatoes before the colonoscopy?,"Yes, you can have potatoes, but only without the skin. They can be boiled, creamed, mashed, or baked."
Can I have dairy products like cheese or butter?,"Yes, you can have cheese, butter, margarine, milk, cream, or cottage cheese."
Is it okay to have vegetables 2 days before the procedure?,"No, you should avoid all vegetables as they are high in fiber."
Can I have lean meat before the procedure?,"Yes, you can eat well-cooked lean meats such as beef, lamb, ham, veal, pork, fish, shellfish, or poultry."
Can I drink alcohol during the preparation?,"No, alcohol should be avoided during the preparation for your colonoscopy."
What kind of drinks are allowed during bowel preparation?,"You can have water, cordial, fizzy drinks, clear strained soup, or clear stock. Avoid anything that is red or purple in color."
Can I have tea or coffee during the preparation?,"Yes, you can have tea or coffee, but it should not contain milk or creamer. Sugar and sugar substitutes are allowed."
Can I drink milk during the preparation?,"No, you should avoid milk and other dairy drinks."
Is it okay to eat nuts or seeds before the colonoscopy?,"No, nuts and seeds should be avoided, as they can interfere with bowel cleansing."
Can I have jams or jellies?,"You can have clear jelly, but avoid red or purple jelly."
What types of drinks should I avoid during preparation?,"Avoid any drinks that are red or purple, alcohol, or drinks with high sugar content."
Can I have boiled eggs before the procedure?,"Yes, you can have eggs, especially boiled or poached, as part of your diet before the procedure."
Is it okay to have crisps or fried food before the colonoscopy?,"No, avoid crisps and roasted or deep-fried potatoes like chips."
How much water should I drink during the bowel preparation?,"You should try to drink at least 2 liters (about 8 to 10 glasses) of clear fluids throughout the day, in addition to the bowel preparation solution."
What clear liquids are allowed before the procedure?,"Clear liquids include apple or white grape juice, clear broth, water, clear soda, Gatorade (not red), plain Jell-O (not red), and popsicles (not red)."
Can I drink herbal teas that contain flowers or fruit pieces during the preparation?,"No, avoid herbal teas with added fruits, flowers, or other solid components. Stick to clear herbal teas without any additions."
What should I do if I accidentally drank a red-colored liquid during preparation?,"Contact your healthcare provider for guidance. Red-colored liquids can interfere with the procedure, making it difficult for doctors to get a clear view of your colon."
Can I eat anything at all on the day of the procedure?,"You can only have a light breakfast before 9 am on the day before your procedure. After that, consume only clear liquids until after the colonoscopy."
Is it okay to drink protein shakes during the bowel preparation?,"No, you should avoid protein shakes during the preparation period, as they are not considered clear liquids and can interfere with the bowel cleansing process."
Can I take my daily vitamins and supplements during the preparation?,You should avoid taking any vitamins or supplements unless your doctor specifically instructs you otherwise. Some supplements can interfere with bowel preparation.
What if I feel nauseous while drinking the bowel preparation fluids?,"If you feel nauseous, take small sips of the fluid and take a break if necessary. If the nausea persists, contact your doctor for advice."
